article_id,title,paragraph,model_name,answer_1,answer_2,answer_3,comments,question_1,question_2,question_3,non_answer,correct_answer_1,correct_answer_2,correct_answer_3,correct_count,is_correct_answer_1,is_correct_answer_2,is_correct_answer_3,non_answer_1,non_answer_2,non_answer_3,all_options_1,all_options_2,all_options_3,para_id,Model
11,Insects Could be the Planets Next Food Source,"Crunchy, full of protein and to be found under a rock near you. Insects have long been overlooked as food in all but a handful of places around the world. Now they are crawling closer and closer to our plates. Spring 2013 will see a drive towards removing the yuck factor and putting insects not just on experimental gastronomic menus but also on supermarket shelves. In April, there will be a festival in London, Pestival 2013 – a Wellcome Trust-backed insect appreciation event where the consumption of creepy-crawlies comes high on the agenda. It will feature a two-day “pop-up” restaurant by the Nordic Food Lab, the Scandinavian team behind the Danish restaurant Noma. The restaurant brought ants to the table for a sellout time run at Claridge’s hotel in London in 2012.",control-sup-grade7,A campaign to make people comfortable eating insects,As evidence that insects are an important aspect of people’s diets in other parts of the world,A Scandinavian team’s food that includes insects,"
",What will happen in spring 2013?,Why does the author mention the Danish restaurant Noma?,Which of the following will be featured at Pestival 2013?,0,A campaign to make people comfortable eating insects,To inform about the Nordic Food Lab’s pop-up restaurant at Pestival,A Scandinavian team’s food that includes insects,2,True,False,True,False,False,False,"['A campaign to make people comfortable eating insects', 'Supermarkets will offer free insect tastings', 'Claridge’s hotel will serve insect dishes', 'A study will be conducted to assess the nutritional value of insects']","['To inform about the Nordic Food Lab’s pop-up restaurant at Pestival', 'To show how popular Nordic food is in London restaurants', 'As evidence that insects are an important aspect of people’s diets in other parts of the world', 'As evidence that Danish restaurants are popular']","['A Scandinavian team’s food that includes insects', 'Insect dishes from a London-based hotel', 'Grocery store stands with insect tastings', 'Gift bags with insect-themed items']",1,ControlSup-Grade7
19,Philip Pullman Illegal Downloading Is Moral Squalor,"Illegal downloading is a kind of “moral squalor” and theft, as much as reaching in to someone’s pocket and stealing their wallet is theft, says author Philip Pullman. In an article for Index on censorship, Pullman, who is president of the Society of authors, makes a strong defence of copyright laws. He is highly critical of Internet users who think it is OK to download music or books without paying for them.",control-sup-grade7,The “Society of Authors”,He disapproves of people who are OK with pirating,People who think it’s alright to download books without paying for them,"
",Where does Philip Pullman hold a senior position?,What does Pullman think about pirating?,Who does Pullman criticize?,0,The “Society of Authors”,He disapproves of people who are OK with pirating,People who think it’s alright to download books without paying for them,3,True,True,True,False,False,False,"['The “Society of Authors”', 'The “Index on Censorship”', 'The “Association Against Illegal Downloading”', 'The “Arts Union”']","['He disapproves of people who are OK with pirating', 'He thinks it is only OK to download music or books without paying for them if it is done infrequently', 'He believes it is a robust defense against copyright laws', 'He thinks it depends on the user’s financial situation']","['People who think it’s alright to download books without paying for them', 'People who post music or books online to places where other people can access them without paying', 'People who don’t defend copyright laws', 'Websites that support illegal downloading']",1,ControlSup-Grade7
6,Can the US Electric Bike Market Get a Jump Start?,"When Larry Pizzi heard about electric bikes nearly 20 years ago, he had a question: ""Why would anyone want to ruin a bike by putting a motor and battery on it?"" Traditionalists still ask this question. Shops have been slow to stock electric bikes, even though they have been available since the late 1990s. Sales have been small in the US. Pizzi, who now runs the number one seller of e-bikes in the US, Currie Technologies, believes this is about to change. Others in business agree.  familiar brands like Trek, Raleigh and Specialized all offer electric models, knowing that the market will soon take off. ""We are at the beginning of mainstream use,"" Pizzi said. ""More and more players are coming into the category, it seems, every month.",muss_bart_unsup_out,The CEO of the largest company that sells e-bikes in the US,That they will soon offer electric bikes,A company that is headed by Larry Pizzi,"
",Who is Larry Pizzi?,"What do the bicycle brands Trek, Raleigh, and Specialized think will happen?",What is Currie Technologies?,0,The CEO of the largest company that sells e-bikes in the US,That e-bike sales are going to expand,A company that is headed by Larry Pizzi,2,True,False,True,False,False,False,"['The CEO of the largest company that sells e-bikes in the US', 'The CEO of the first company to sell e-bikes in the US', 'A CEO who used e-bikes almost 20 years ago', 'A CEO who bikes to work every day']","['That e-bike sales are going to expand', 'That they will soon offer electric bikes', 'That Currie Technologies will be the number one seller of e-bikes in the US', 'That electric bikes will become lighter in the future']","['A company that is headed by Larry Pizzi', 'A company that will soon sell e-bikes', 'A company founded nearly 20 years ago', 'A company known for selling non-electric bikes']",1,MUSS-Unsup
11,Insects Could be the Planets Next Food Source,"In the West, people do not usually eat insects. But in some parts of the world, insects are an important food and in spring 2013 there will be an effort to show people that eating insects is not disgusting. And we may soon be able to buy insects in supermarkets. In April, there will be a festival in London, Pestival 2013, where there will be a discussion about the question of eating insects. The festival will include a restaurant by the Nordic Food Lab, the Scandinavian team behind the Danish restaurant Noma, which brought extremely popular insect dishes to Claridge’s hotel in London in 2012.",Ele,A campaign to make people comfortable eating insects,To show how popular Nordic food is in London restaurants,A Scandinavian team’s food that includes insects,"
",What will happen in spring 2013?,Why does the author mention the Danish restaurant Noma?,Which of the following will be featured at Pestival 2013?,0,A campaign to make people comfortable eating insects,To inform about the Nordic Food Lab’s pop-up restaurant at Pestival,A Scandinavian team’s food that includes insects,2,True,False,True,False,False,False,"['A campaign to make people comfortable eating insects', 'Supermarkets will offer free insect tastings', 'Claridge’s hotel will serve insect dishes', 'A study will be conducted to assess the nutritional value of insects']","['To inform about the Nordic Food Lab’s pop-up restaurant at Pestival', 'To show how popular Nordic food is in London restaurants', 'As evidence that insects are an important aspect of people’s diets in other parts of the world', 'As evidence that Danish restaurants are popular']","['A Scandinavian team’s food that includes insects', 'Insect dishes from a London-based hotel', 'Grocery store stands with insect tastings', 'Gift bags with insect-themed items']",1,Elementary
9,Hundreds Hurt after Meteorite Falls to Earth,"Galina Zaglumyonova was woken by an enormous explosion in her central Chelyabinsk flat. Windows broke and clay pots containing her few houseplants were broken. When she got up to look, she saw a huge vapor trail in the morning sky and heard the sound of car alarms from below. ""I didn't know what was happening,"" said Zaglumyonova. ""There was a large explosion and then a small explosion. My first thought was that it was a plane crash. ""What she had actually seen was the end of a ten-ton meteorite that had crashed into the Earth just after dawn. Officials put the number of people injured at almost 1,200, with more than 40 people taken to hospital. Most of the injuries were caused by glass shattered by the falling meteor. There were no death reports.",muss_bart_unsup_out,The question or the answer options are not supported by the passage.,They were hurt in the meteorite incident,Over 40 people,"
",What happened in Galina's apartment because of the explosion?,"What happened to almost 1,200 people?",Who arrived at the hospital?,1,Pots were damaged,They were hurt in the meteorite incident,Over 40 people,2,False,True,True,True,False,False,"['Pots were damaged', 'The balcony collapsed', 'The apartment filled up with vapor', 'A chandelier fell off the ceiling']","['They were hurt in the meteorite incident', 'They were brought to the hospital', 'They were in a plane crash', 'They lost their homes']","['Over 40 people', 'Almost 1,200 people', 'Several survivors of a plane crash', 'Several survivors of a hurricane']",1,MUSS-Unsup
17,Nepal’s Tiger Population on the Rise,"Tigers are more numerous in Nepal than at any time since the 1970s, a new census shows, giving hope to conservationists who have been fighting to save the big cats for 100 years. The number of wild royal bengal tigers in Nepal has increased to 198, up 63.6% in five years, according to a government study. This is very encouraging, said Maheshwar Dhakal, a national parks and wildlife conservation officer with Nepal. The census was based on pictures taken by more than 500 cameras in five wildlife corridors and three protected areas. More than 250 conservationists and experts took part in the survey, which cost around £250,000.",muss_bart_unsup_out,The question or the answer options are not supported by the passage.,Pictures were taken in wildlife areas,There were more than 250 of them,"
",What has happened to Nepal’s royal bengal tiger population over the past five years?,What was done as part of the tiger population study?,What is true of conservationists and wildlife experts working on the survey?,1,It has increased and has now reached 198 tigers,Pictures were taken in wildlife areas,There were more than 250 of them,2,False,True,True,True,False,False,"['It has increased and has now reached 198 tigers', 'It has increased by 198 tigers', 'It has increased by 500 tigers in five protected areas', 'It has steadily decrease']","['Pictures were taken in wildlife areas', '500 cameras were mounted on tigers', 'Dhakal was hired by Nepal’s Department of National Parks', 'Experts from other countries were brought over to Nepal']","['There were more than 250 of them', 'Some of them were paid £250,000', 'There were more of them than at any time since the 1970s', 'Many of them came to Nepal from other countries']",1,MUSS-Unsup
17,Nepal’s Tiger Population on the Rise,"Tigers are more numerous in Nepal than at any time since the 1970s, a new census shows, giving hope to conservationists who have been fighting to save the big cats for 100 years. The number of wild royal bengal tigers in Nepal has increased to 198, up 63.6% in five years, according to a government study. This is very encouraging, said Maheshwar Dhakal, a national parks and wildlife conservation officer with Nepal. The census was based on pictures taken by more than 500 cameras in five wildlife corridors and three protected areas. More than 250 conservationists and experts took part in the survey, which cost around £250,000.",muss_bart_unsup_out,It has increased and has now reached 198 tigers,Pictures were taken in wildlife areas,There were more than 250 of them,"
",What has happened to Nepal’s royal bengal tiger population over the past five years?,What was done as part of the tiger population study?,What is true of conservationists and wildlife experts working on the survey?,0,It has increased and has now reached 198 tigers,Pictures were taken in wildlife areas,There were more than 250 of them,3,True,True,True,False,False,False,"['It has increased and has now reached 198 tigers', 'It has increased by 198 tigers', 'It has increased by 500 tigers in five protected areas', 'It has steadily decrease']","['Pictures were taken in wildlife areas', '500 cameras were mounted on tigers', 'Dhakal was hired by Nepal’s Department of National Parks', 'Experts from other countries were brought over to Nepal']","['There were more than 250 of them', 'Some of them were paid £250,000', 'There were more of them than at any time since the 1970s', 'Many of them came to Nepal from other countries']",1,MUSS-Unsup
10,Inky the Octopus Escapes from Aquarium,"An octopus has escaped from the National Aquarium in New Zealand. It escaped from its tank, slid down a 50-meter drainpipe and disappeared into the sea. Inky – a common New Zealand octopus – escaped after someone left the lid of his tank open. Staff at the aquarium believe that, in the middle of the night, when there was no-one in the building, Inky climbed down the side of the tank and traveled across the floor. Rob Yarrell, national manager of the National Aquarium of New Zealand in Napier, said: “Octopuses are famous for their ability to escape. I don’t think he was unhappy with us, or lonely, because octopuses like to live alone. But, he is such a curious boy. He would want to know what’s happening on the outside. That’s his personality.”",Ele,To provide evidence that Inky did not escape because he was lonely,He wanted to know what was happening in the outer world,Curious,"
",Why does Yarrell mention that octopuses live alone?,"Why did Inky escape, according to Yarrell?",How does Yarrell describe Inky’s personality?,0,To provide evidence that Inky did not escape because he was lonely,He wanted to know what was happening in the outer world,Curious,3,True,True,True,False,False,False,"['To provide evidence that Inky did not escape because he was lonely', 'To propose that Inky escaped because there were too many people in the aquarium', 'To explain why Inky could only escape when no one was around', 'To explain why octopuses are different from most other sea creatures']","['He wanted to know what was happening in the outer world', 'He was scared of something happening outside his tank', 'He wanted to disappear into the sea', 'He was being mistreated by aquarium personnel']","['Curious', 'Nervous about what’s happening on the outside', 'Unhappy', 'Playful and mischievous']",1,Elementary
26,Wealth Therapy for the Rich,"Clay Cockrell is sitting in his office at Columbus Circle. He is across the street from 1 Central Park West, which houses Trump International Hotel and Tower. In front of the tower is Central Park, where Cockrell holds his popular walk and talk therapy sessions. Cockrell is a former worker who turned therapist. He spends large parts of his days walking through Central Park or the Battery Park in downtown Manhattan near Wall Street, and a counselor to some of New York’s wealthiest people.",control-sup-grade7,At a park near the Trump International Hotel and Tower,The question or the answer options are not supported by the passage.,Trump International Hotel and Tower,"
",Where does Clay Cockrell hold his popular therapy sessions?,What was Cockrell’s occupation before taking on his current job?,What is opposite Cockrell’s office?,1,At a park near the Trump International Hotel and Tower,Wall Street worker,Trump International Hotel and Tower,2,True,False,True,False,True,False,"['At a park near the Trump International Hotel and Tower', 'In his office opposite the Trump International Hotel and Tower', 'On Wall Street', 'At a golf course']","['Wall Street worker', 'Therapist', 'Manager at the Trump International Hotel and Tower', 'Real estate agent']","['Trump International Hotel and Tower', 'Central Park', 'Wall Street offices', 'Cockrell’s apartment complex']",1,ControlSup-Grade7
13,John Lewis Christmas Advertisement 2015: Raising Awareness for Age UK,"Besides lonely old men, there are also lonely women living in craters on the moon. John Lewis’s latest ad, which has been featured in the department store's Christmas 2015 ad campaign, is a reminder of the many ways in which people can benefit from a charity holiday. Amid rising hype around the campaign, which has already seen sales increase by more than half, the store is now trying to encourage people to donate money to age-related charities like Age UK.",kis_output_default,In a department store,The question or the answer options are not supported by the passage.,The question or the answer options are not supported by the passage.,"Most questions are just out of context.
",Where does the lonely old man appear in John Lewis’s advertisement?,What is one component of John Lewis’s campaign?,What will be introduced in 11 John Lewis stores?,2,On the moon,In-store areas that resemble the moon surface,Surfaces that resemble the moon,0,False,False,False,False,True,True,"['On the moon', 'In a department store', 'In an Age UK shelter', 'In a senior house']","['In-store areas that resemble the moon surface', 'A £7 million TV ad', 'Discounts for elderly customers', 'A newspaper a']","['Surfaces that resemble the moon', 'Glow-in-the-dark pyjamas', 'Age UK booths', 'Christmas music']",1,KIS
11,Insects Could be the Planets Next Food Source,"High in protein and can be found under a rock near you. Insects have long been overlooked as food in all but a few places around the world, but now our plates are getting closer and closer. Spring 2013 will see the removal of the yuck factor and the placement of insects not only on experimental menus but also on supermarket shelves. In April, a festival, P Festival 2013, will be held in London - a Wellcome Trust-backed insect appreciation event, where eating bugs is high on the agenda. It will feature a two-day ""pop-up"" restaurant by the Scandinavian team behind Noma, the famous Danish restaurant. They brought ants to the table in 2012 for a ten-day run at the Claridge's hotel in London.",muss_bart_unsup_out,The question or the answer options are not supported by the passage.,As evidence that Danish restaurants are popular,The question or the answer options are not supported by the passage.,"
",What will happen in spring 2013?,Why does the author mention the Danish restaurant Noma?,Which of the following will be featured at Pestival 2013?,2,A campaign to make people comfortable eating insects,To inform about the Nordic Food Lab’s pop-up restaurant at Pestival,A Scandinavian team’s food that includes insects,0,False,False,False,True,False,True,"['A campaign to make people comfortable eating insects', 'Supermarkets will offer free insect tastings', 'Claridge’s hotel will serve insect dishes', 'A study will be conducted to assess the nutritional value of insects']","['To inform about the Nordic Food Lab’s pop-up restaurant at Pestival', 'To show how popular Nordic food is in London restaurants', 'As evidence that insects are an important aspect of people’s diets in other parts of the world', 'As evidence that Danish restaurants are popular']","['A Scandinavian team’s food that includes insects', 'Insect dishes from a London-based hotel', 'Grocery store stands with insect tastings', 'Gift bags with insect-themed items']",1,MUSS-Unsup
3,Bangladeshi Organization Delivers a Lesson on Ending Child Labor,"The small space is set up to look like a classroom. Its corrugated iron walls are hung with educational charts – illustrated letters of the alphabet and a map of Bangladesh. But, the constant sound of hammering and the chemicals in the air that catch in the back of the throat and irritate the eyes make it hard to concentrate. The children who learn in this three-square-mile room are the lucky ones, however. They have escaped working in the factories opposite.",control-sup-grade7,A map of a country,They do not work in factories nearby,Children who study in a tiny classroom,"
",What is depicted on the walls?,Why are the people in the room lucky?,Which children are referred to as “lucky”?,0,A map of a country,They do not work in factories nearby,Children who study in a tiny classroom,3,True,True,True,False,False,False,"['A map of a country', 'Letters from several languages', 'Images of factory workers', 'Portraits of historical figures']","['They do not work in factories nearby', 'They no longer need to study in a three-square-meter room', 'They are not exposed to harmful chemicals in the air', 'Their parents can afford sending them to a private school']","['Children who study in a tiny classroom', 'Children who found jobs after finishing school', 'Children who are able to concentrate', 'Children whose parents have jobs']",1,ControlSup-Grade7
20,Rwandan Women Whip up Popular Ice Cream Business,"From all across Rwanda, and even parts of neighboring Burundi, people flock to the southern town of Butare to a little shop called Inzozi Nziza. They come for a taste of the unknown, something most have never tasted — the sweet, cold, velvety embrace of ice cream. Here, at the central African country’s first ice-cream parlor, customers can buy scoops in sweet cream, passion fruit, strawberry and pineapple flavors. Toppings include fresh fruit, honey, chocolate chips and granola. Black tea and coffee are also on sale.",control-sup-grade7,Butare,Beverages,Burundi,"
",Where is the ice cream shop located?,"What can customers buy at the ice cream shop, other than ice cream?",Where is one place where people come to the ice cream shop from?,0,Butare,Beverages,Burundi,3,True,True,True,False,False,False,"['Butare', 'Burundi', 'Near a popular tea and coffee shop', 'The capital Kigali']","['Beverages', 'Passion fruit', 'Traditional Butare sweets', 'Frozen yogurt']","['Burundi', 'Inzozi Nziza', 'South Africa', 'Uganda']",1,ControlSup-Grade7
24,The Secrets of the Mystery Shopper,"These are 50,000 shopping trips a month being taken by mystery shoppers in the UK. The Mystery Shopping Providers Association, which represents stores across the country, estimates that more than half of all spending is done online and, because of the demand for such shopping, the demand for mystery shoppers is growing.",kis_output_default,The rise in popularity of online shopping,The question or the answer options are not supported by the passage.,Retailers,"
",Which factor has been contributing to the increasing demand for mystery shoppers?,Why do retailers hire the services of Marketforce?,Who are the clients of Marketforce?,1,The rise in popularity of online shopping,To assess the shopping experience in their stores,Retailers,2,True,False,True,False,True,False,"['The rise in popularity of online shopping', 'The increase in in-store shopping', 'The activity of companies like Marketforce', 'The success of reality TV shows about mystery shoppers']","['To assess the shopping experience in their stores', 'To improve the quality of their online services', 'To collect information on the service quality of competing retailers', 'To find new employees to hire']","['Retailers', '300,000 mystery shoppers', 'Mystery Shopping Providers Associations', 'Advertisers']",1,KIS
16,Morocco Poised to Become a Solar Superpower,"The Moroccan city of Ouarzazate is used for big productions. It is the centre of the Sahara Desert and at the heart of Morocco’s power sector. Now, with hydro and wind, it is already home to a range of energy-related products, including wind turbines and solar power stations, which together make up almost half of the country's electricity by 2020.",kis_output_default,"wind, hydro and solar energy",The question or the answer options are not supported by the passage.,They will provide half of Morocco’s energy by 2020,"
",Where will almost half of Morocco’s electricity will come from by 2020?,How does the mirror technology used in the power plant differ from familiar roof panels?,What is true of wind and hydro energy sources in Morocco?,1,"wind, hydro and solar energy",Mirror technology can generate energy at night,They will be used alongside solar energy,1,True,False,False,False,True,False,"['wind, hydro and solar energy', 'solar energy', 'Noor 1', 'neighboring countries']","['Mirror technology can generate energy at night', 'Mirror technology is not as expensive', 'Mirror technology is cleaner than hydro and wind power', 'Mirror technology is easier to install than roof panels']","['They will be used alongside solar energy', 'They will provide half of Morocco’s energy by 2020', 'They will be cheaper than using standard roof panels', 'They will replace oil-based energy sources']",1,KIS
14,Love Hormone Helps Autistic Children Bond with Others,"Nasal spray laced with the ‘Love horit’ oxytocin could help children with autism learn to handle social situations better, U.S. researchers claim. Scans of children with disorder disorder disorder showed that a single dose of the chemical improved brain responses to facial expressions. This shift could make social interactions feel more natural and rewarding for them. The scientists behind the study said a course of oxytocin might boost the success of behavioral therapies that are already used to help people with autism learn to deal with social situations. “Over time, what you would expect to see is more appropriate social responding,"" said Kevin Pelphrey. He is director of the Child Neuroscience Lab at Yale University.",control-sup-grade7,Improved responses to faces,It can enhance the effectiveness of current treatments,"Yes, it can be combined with existing treatments","
","What difference did oxytocin make to the brains of autistic children, as shown in brain scans?","How can oxytocin be used for people with autism, according to the researchers?",Do the researchers expect oxytocin to interact well with other treatments?,0,Improved responses to faces,It can enhance the effectiveness of current treatments,"Yes, it can be combined with existing treatments",3,True,True,True,False,False,False,"['Improved responses to faces', 'Improved flow of chemicals in the brain', 'Increased responses to conversation', 'Increased activity when solving math problems']","['It can enhance the effectiveness of current treatments', 'It can effectively replace current treatments', 'It can help children like Kevin Pelphrey go to school more regularly', 'It can reduce their anxiety levels']","['Yes, it can be combined with existing treatments', 'No, oxytocin will not be effective if other treatments are used', 'Yes, if the patient already has normal social responses', 'The researchers think it is too early to know']",1,ControlSup-Grade7
24,The Secrets of the Mystery Shopper,"There are more mystery shopping trips carried out every month in the UK, according to the Mystery Shopping providers Association said. In fact, more and more spending takes place online the demand for mystery shoppers is growing. Shoppers pretend to be a customer in a store. But they are really collecting information on how good or bad its service is. “Retailers are becoming increasingly aware that shoppers who are prepared to set foot in a physical store want a service and an experience they can’t get online e,” says Simon Boydell is a spokesman for Marketforce. He has more than 300 copies. There are more mystery shoppers on its books. “Our clients want to measure how well their stores are delivering on that experience.”",control-editnar-grade5,The rise in popularity of online shopping,To assess the shopping experience in their stores,Retailers,"
",Which factor has been contributing to the increasing demand for mystery shoppers?,Why do retailers hire the services of Marketforce?,Who are the clients of Marketforce?,0,The rise in popularity of online shopping,To assess the shopping experience in their stores,Retailers,3,True,True,True,False,False,False,"['The rise in popularity of online shopping', 'The increase in in-store shopping', 'The activity of companies like Marketforce', 'The success of reality TV shows about mystery shoppers']","['To assess the shopping experience in their stores', 'To improve the quality of their online services', 'To collect information on the service quality of competing retailers', 'To find new employees to hire']","['Retailers', '300,000 mystery shoppers', 'Mystery Shopping Providers Associations', 'Advertisers']",1,EditCL-Grade5
13,John Lewis Christmas Advertisement 2015: Raising Awareness for Age UK,A lonely old man living in a crater on the moon is John Lewis’s Christmas 2015 show as the department store puts a charitable spin on its latest project. John Lewis's winter has come to mark the beginning of the Christmas shopping season for many years. The department store will raise hundreds of thousands of pounds for the group Age UK. It will also encourage workers and customers to join up with their group to care for elderly people who might otherwise be alone over the holiday. The retailer has spent money on a campaign. It ranges from the slick TV ad to a smartphone game and toys. These include glow-in-the-dark pyjamas. Other areas decked out like the surface of the moon in 11 stores.,control-editnar-grade5,On the moon,In-store areas that resemble the moon surface,Surfaces that resemble the moon,"
",Where does the lonely old man appear in John Lewis’s advertisement?,What is one component of John Lewis’s campaign?,What will be introduced in 11 John Lewis stores?,0,On the moon,In-store areas that resemble the moon surface,Surfaces that resemble the moon,3,True,True,True,False,False,False,"['On the moon', 'In a department store', 'In an Age UK shelter', 'In a senior house']","['In-store areas that resemble the moon surface', 'A £7 million TV ad', 'Discounts for elderly customers', 'A newspaper a']","['Surfaces that resemble the moon', 'Glow-in-the-dark pyjamas', 'Age UK booths', 'Christmas music']",1,EditCL-Grade5
4,Bolivians Demand the Right to Chew Coca Leaves,Major change has erupted over the right of Bolivia’s native Indian tribes to chew Coca leaves. This is the principal ingredient in cocaine. Bolivia has gotten a special break from the 1961 Single Convention on Narcotic drugs. This rules allows its native people to chew the leaves. Bolivia had argued that the convention was opposed against its new constitution. It was adopted in 2009. The agreement breaks it to “protect native and ancestral Coca as cultural customers. He says that Coca is “in its natural state ... is not a dangerous narcotic.”,control-editnar-grade5,Discussing whether indigenous people in Bolivia should be allowed to chew coca leaves,That coca should be protected,Anyone who is considered to be indigenous,"
",What was the purpose of the 1961 Convention on Drugs?,What does Bolivia’s constitution say?,Who is currently permitted to consume coca in Bolivia?,0,Regulating international policy on drugs,That coca should be protected,Anyone who is considered to be indigenous,2,False,True,True,False,False,False,"['Regulating international policy on drugs', 'Discussing whether indigenous people in Bolivia should be allowed to chew coca leaves', 'Discussing the legal status of Bolivia’s constitution', 'Negotiating extradition agreements for drug traffickers']","['That coca should be protected', 'Bolivia does not allow the consumption of dangerous drugs', 'That it accepts the decisions of the 1961 Convention on Drugs', 'That consumption of drugs, but not their distribution, is legal']","['Anyone who is considered to be indigenous', 'Anyone who received a special exemption from the Bolivian government', 'Anyone who uses it in its natural state', 'Anyone who uses it recreationally']",1,EditCL-Grade5
9,Hundreds Hurt after Meteorite Falls to Earth,"Galina Zaglumyonova was woken in her flat in central Chelyabinsk by an enormous explosion. The explosion blew in the balcony windows and shattered clay pots containing her few houseplants. When she jumped out of bed she could see a vapor trail hanging in the morning sky and hear the wail of car alarms from the street below. “I didn’t understand what was going on,” said lumyonova. “There was a big explosion and then a series of little explosions. My first thought was that it was a plane crash.” What she had actually witnessed were the death throes of a ten-ton meteorite plunged to Fireballs just after sunrise. Officials put the number of people injured at almost 1 in 200. With more than 40 were taken to hospital. Most as a result of flying glass shattered by the boom created by the meteorite’s descent. There were no reported deaths.",control-editnar-grade5,Pots were damaged,They were hurt in the meteorite incident,Over 40 people,"
",What happened in Galina's apartment because of the explosion?,"What happened to almost 1,200 people?",Who arrived at the hospital?,0,Pots were damaged,They were hurt in the meteorite incident,Over 40 people,3,True,True,True,False,False,False,"['Pots were damaged', 'The balcony collapsed', 'The apartment filled up with vapor', 'A chandelier fell off the ceiling']","['They were hurt in the meteorite incident', 'They were brought to the hospital', 'They were in a plane crash', 'They lost their homes']","['Over 40 people', 'Almost 1,200 people', 'Several survivors of a plane crash', 'Several survivors of a hurricane']",1,EditCL-Grade5
29,Will Drones Soon Be Delivering Packages to Your Doorstep,"How far away are we from a world where drones deliver packages? If Amazon is to be believed, not far at all. Others are not so sure: technical progress past this point isn’t merely a matter of invention; it’s a matter of public safety. Paul Misener is the Amazon’s vice-president. He told a congressional hearing recently that his company would be ready as soon as all the rules were in place. The Federal Aviation Authority (FAA) will finally have rules about the use of unmanned aircraft by June 2016. The technology has a long way to go before then. And larger machines are not airway-law at all yet. But only drones up to 25will be allowed. The FAA says if you are going to crowd the skies with radio-controlled flying robots. But, nobody can jam or hijack.",control-editnar-grade5,Once the FFA releases their rules,Drones that were jammed or hijacked must switch to a different frequency,"June 2016, or before","
",When does Amazon claim it will be ready to deliver packages using drones?,What will be included in FAA’s new drone rules regarding radio frequencies?,When will the FAA release regulations on drones?,0,Once the FFA releases their rules,All drones must operate at different radio frequencies,"June 2016, or before",2,True,False,True,False,False,False,"['Once the FFA releases their rules', 'Once the FFA approves Amazon’s existing drones', 'Amazon says it is not sure when this will happen', 'Once the FFA regulations are approved by Congress in 2017']","['All drones must operate at different radio frequencies', 'Drones that were jammed or hijacked must switch to a different frequency', 'Drones over 25kg will have their own frequency bandwidth', 'Not all frequencies will be allowed to be used by drones']","['June 2016, or before', 'After June 2016', 'Soon, but the exact date is not specified', 'They were already released at the time this article was written']",1,EditCL-Grade5
6,Can the US Electric Bike Market Get a Jump Start?,"When Larry Pizzi first heard about electric bikes nearly 20 years ago, he asked: “Why would anyone want to screw up a bike by putting a motor and batteries on it?” It’s a question that still puzzles puzzles. Bicycle shops have been slow to stock e-bikes, even though they have been around since the late 1990s. Sales in the United States have been modest. Pizzi is now head of Currie Technologies and the number one seller of e-bikes in the US. He believes that’s about to change. Others in the industry agree. Trek, Raleigh and Specized all offer electric models. They are betting the market is about to take off. Pizzi is on the cusp of mainstream adoption,” Pizzi said. “There are more players entering the seems, seems, it seems with every passing Month.”",control-editnar-grade5,The CEO of the largest company that sells e-bikes in the US,That they will soon offer electric bikes,A company that is headed by Larry Pizzi,"
",Who is Larry Pizzi?,"What do the bicycle brands Trek, Raleigh, and Specialized think will happen?",What is Currie Technologies?,0,The CEO of the largest company that sells e-bikes in the US,That e-bike sales are going to expand,A company that is headed by Larry Pizzi,2,True,False,True,False,False,False,"['The CEO of the largest company that sells e-bikes in the US', 'The CEO of the first company to sell e-bikes in the US', 'A CEO who used e-bikes almost 20 years ago', 'A CEO who bikes to work every day']","['That e-bike sales are going to expand', 'That they will soon offer electric bikes', 'That Currie Technologies will be the number one seller of e-bikes in the US', 'That electric bikes will become lighter in the future']","['A company that is headed by Larry Pizzi', 'A company that will soon sell e-bikes', 'A company founded nearly 20 years ago', 'A company known for selling non-electric bikes']",1,EditCL-Grade5
5,Bright Future for Astrotourism,"On Black fell, looking down on Northumberland’s beautiful Kielder Water reservoir, a group of people wait in a car park next to a strange wooden building. This is Kielder Observatory, the center of Britain’s nascent astrotourism industry. And those waiting outside were the lucky ones. Many more had applied for a night of stargazing at the observatory but numbers are strictly limited. Inside, next to a woodburner and under dimmed lights, the observatory’s founder and lead astronomer, Gary Fildes, a former bricklayer with Tarzan hair, delivers a pep talk to his co-leagues. The team discusses the prospect of seeing the northern lights but Fildes is doubtful. Instead, they decide to train their powerful telescopes on Jupiter and Venus and later to pick out stars such as Capella and Betelgeuse. An additional attraction is the appearance of the International Space Station.",control-sup-grade7,A car park,Members of a team of astronomers at Kielder Observatory,Observe Jupiter and Venus,"
",What is located next to the Kielder Observatory?,Who mentions that it might be possible to see the northern lights?,What does Fildes’ team decide to do?,0,A car park,Members of a team of astronomers at Kielder Observatory,Observe Jupiter and Venus,3,True,True,True,False,False,False,"['A car park', 'A wooden building', 'Capella and Betelgeuse', 'A research center']","['Members of a team of astronomers at Kielder Observatory', 'The head astronomer of the Kielder Observatory, Gary Fields', 'People who applied for a night of stargazing at the Kielder Observatory', ""Tourists in Norway's National Observatory in Oslo""]","['Observe Jupiter and Venus', 'Observe the northern lights', 'Wait for more visitors to arrive from the car park', 'Observe the moon']",1,ControlSup-Grade7
